gen,nevals,avg,std,min,max
0,16,68.3125,9.332193940869425,46.0,85.0
1,16,67.25,7.163274390947201,55.0,83.0
2,16,67.875,7.0522602759682655,57.0,81.0
3,16,66.125,8.417801078666566,52.0,80.0
4,16,65.0,7.097534783289195,53.0,78.0
5,16,67.5,8.90926484060273,52.0,89.0
6,16,64.75,8.089344843681719,47.0,78.0
7,16,69.75,9.536115561380326,56.0,90.0
8,16,68.625,11.313017943944047,44.0,84.0
9,16,69.3125,7.958633284050723,58.0,92.0
10,16,64.8125,8.69064691205436,45.0,80.0
11,16,68.625,6.650892797211514,54.0,80.0
12,16,68.4375,7.399060328852577,49.0,82.0
13,16,64.5625,8.207989629013916,50.0,81.0
14,16,65.0625,9.397265227181789,52.0,82.0
15,16,66.25,8.081614937622307,54.0,79.0
16,16,65.5,8.329165624478842,45.0,78.0
17,16,69.4375,8.108396496842024,53.0,80.0
18,16,64.375,9.873417594733851,44.0,79.0
19,16,65.375,9.272776013686517,48.0,82.0
20,16,63.9375,7.611412073327787,53.0,78.0
21,16,65.75,8.370334521391603,51.0,78.0
22,16,70.5,7.202430145443967,53.0,81.0
23,16,69.75,8.027297179001161,51.0,82.0
24,16,64.375,8.978272383927768,48.0,84.0
25,16,70.3125,8.886216503664537,52.0,83.0
26,16,67.8125,9.09820552361838,48.0,85.0
27,16,68.5625,8.937062926375756,53.0,83.0
28,16,63.4375,6.061855635859369,50.0,71.0
29,16,62.625,4.525966747557918,54.0,70.0
30,16,64.5625,5.147435647970744,57.0,75.0
31,16,70.375,8.652131240336105,56.0,86.0
32,16,68.625,6.613197033205649,58.0,86.0
33,16,65.75,8.919781387455636,49.0,81.0
34,16,67.9375,8.027053864899624,51.0,79.0
35,16,68.5,7.185053931599957,54.0,79.0
36,16,65.25,7.677076266392044,49.0,80.0
37,16,68.0625,10.603470835061508,54.0,93.0
38,16,69.4375,8.667242569006593,54.0,88.0
39,16,71.5625,7.176077880708932,61.0,89.0
40,16,67.9375,6.8962739033480975,57.0,80.0
41,16,69.6875,9.237956686951936,56.0,97.0
42,16,67.875,10.611756452161913,48.0,87.0
43,16,65.375,11.428445869845996,50.0,89.0
44,16,64.8125,7.010873251599975,50.0,78.0
45,16,65.9375,9.81369419484834,47.0,92.0
46,16,65.375,8.637671850678283,50.0,83.0
47,16,65.8125,6.356283800303444,57.0,81.0
48,16,69.1875,7.551645102227726,54.0,82.0
49,16,69.0625,7.829980443781453,55.0,82.0
50,16,69.5,7.88986691902975,56.0,81.0
51,16,65.25,6.796138609534093,53.0,76.0
52,16,74.0625,8.2041814795871,56.0,89.0
53,16,66.5625,6.837111506330725,55.0,78.0
54,16,66.3125,7.9664825205356475,52.0,85.0
55,16,67.5,6.882949948968102,57.0,81.0
56,16,70.8125,6.1564879395642444,56.0,79.0
57,16,71.0,8.351646544245034,56.0,87.0
58,16,70.3125,5.934209614599067,59.0,79.0
59,16,69.625,6.460214779711275,55.0,83.0
