gen,nevals,avg,std,min,max
0,16,65.875,9.499177595981665,51.0,83.0
1,16,62.5625,5.80913881311163,54.0,76.0
2,16,66.6875,6.131055679897223,50.0,79.0
3,16,68.4375,10.173302991162704,52.0,86.0
4,16,66.875,7.157819151110204,50.0,79.0
5,16,69.375,6.273705045664802,59.0,86.0
6,16,67.125,7.809249323718638,55.0,82.0
7,16,65.4375,7.753779320434648,56.0,88.0
8,16,71.125,8.53577032258952,56.0,85.0
9,16,70.125,9.636356936104017,55.0,87.0
10,16,67.125,8.454843286542927,44.0,81.0
11,16,66.25,7.660776723022281,51.0,80.0
12,16,67.4375,7.01755610950137,58.0,81.0
13,16,65.4375,8.477682097719871,52.0,80.0
14,16,69.3125,5.370274085184107,60.0,79.0
15,16,67.75,6.703543838895961,54.0,79.0
16,16,68.25,9.263503656824453,52.0,84.0
17,16,66.0625,6.348904925260734,57.0,75.0
18,16,67.625,9.688104819829315,52.0,92.0
19,16,68.9375,7.90939907641535,53.0,83.0
20,16,69.125,5.543859215384171,56.0,80.0
21,16,67.875,5.441449714919729,60.0,77.0
22,16,69.4375,6.072157256692221,56.0,78.0
23,16,68.6875,6.611720180860651,56.0,84.0
24,16,65.25,6.8053287944081,54.0,78.0
25,16,67.375,11.29643195880894,46.0,94.0
26,16,67.125,7.523920188306094,56.0,83.0
27,16,68.625,6.518003912241845,55.0,83.0
28,16,66.6875,7.767872536930559,47.0,81.0
29,16,65.5,7.866066361276137,51.0,81.0
30,16,67.625,5.4872010169119925,59.0,79.0
31,16,70.1875,6.8758522199069985,56.0,80.0
32,16,67.625,8.601417034419386,54.0,86.0
33,16,70.375,6.333196270446701,58.0,83.0
34,16,67.0,6.5383484153110105,56.0,78.0
35,16,67.5625,7.01755610950137,51.0,83.0
36,16,66.4375,6.538049690083428,56.0,80.0
37,16,68.25,7.101936355670896,54.0,86.0
38,16,65.5625,8.306388730970879,53.0,86.0
39,16,65.9375,7.48722870960945,54.0,79.0
40,16,68.0625,8.11995035391227,55.0,81.0
41,16,68.25,5.706356105256663,56.0,77.0
42,16,69.3125,8.35702361789172,53.0,89.0
43,16,66.875,8.845019785167244,53.0,88.0
44,16,67.6875,11.088951426983527,47.0,97.0
45,16,71.0625,7.048659003668712,58.0,81.0
46,16,69.3125,9.251477922472711,51.0,87.0
47,16,67.3125,5.058640504127567,58.0,76.0
48,16,68.125,7.287617923574205,56.0,85.0
49,16,64.8125,6.90306770573779,56.0,79.0
50,16,70.9375,8.332682266233364,51.0,81.0
51,16,66.25,7.4456363059177155,54.0,84.0
52,16,67.625,9.136978439287246,52.0,80.0
53,16,66.4375,6.061855635859369,54.0,75.0
54,16,70.9375,9.29024185637812,52.0,86.0
55,16,67.0,7.474958193863027,55.0,82.0
56,16,71.125,11.29643195880894,53.0,94.0
57,16,69.3125,9.54409994446831,54.0,93.0
58,16,65.5625,7.785954902900478,50.0,82.0
59,16,69.4375,8.015366102056724,54.0,85.0
60,16,71.0,8.565920849505908,59.0,100.0
61,16,69.25,7.520804478245662,54.0,92.0
62,16,66.5625,4.961964706645947,58.0,77.0
63,16,71.3125,9.834370531457516,59.0,100.0
64,16,68.5625,8.10068477043762,55.0,85.0
65,16,63.5625,5.787580992953792,56.0,74.0
66,16,67.5625,8.046495743489833,53.0,83.0
67,16,65.75,7.232738070744716,55.0,79.0
68,16,69.0,8.492643875731515,50.0,82.0
69,16,64.1875,8.009515824942229,52.0,84.0
70,16,68.5,9.433981132056603,55.0,88.0
71,16,69.9375,9.195574682965715,47.0,84.0
72,16,63.9375,7.206496634981522,50.0,81.0
73,16,72.0625,7.6605217674777215,60.0,90.0
74,16,68.125,8.146126380065558,53.0,82.0
75,16,65.4375,11.224798160768861,51.0,91.0
76,16,68.4375,3.6566506190775185,64.0,79.0
77,16,67.75,6.796138609534093,57.0,78.0
78,16,71.8125,9.328844716791036,52.0,87.0
79,16,70.75,5.129571132170798,60.0,80.0
80,16,67.1875,9.408897052789982,47.0,81.0
81,16,67.1875,6.1564879395642444,56.0,78.0
82,16,65.25,7.603453162872775,51.0,81.0
83,16,65.0625,8.989360030057757,50.0,80.0
84,16,68.625,7.598313957714566,53.0,81.0
85,16,67.625,8.915401000515905,54.0,81.0
86,16,69.0625,6.004880827293744,55.0,80.0
87,16,64.5,7.929375763576853,50.0,80.0
88,16,67.4375,8.396195194848676,53.0,82.0
89,16,65.3125,6.714897151111103,54.0,82.0
90,16,71.8125,9.335541963378452,57.0,88.0
91,16,63.875,6.927075501248705,54.0,77.0
92,16,66.0625,5.055550786017286,58.0,75.0
93,16,68.375,10.493301434724916,53.0,90.0
94,16,69.5,6.87386354243376,59.0,81.0
95,16,68.0,6.864765108872991,56.0,82.0
96,16,68.5,6.164414002968976,59.0,83.0
97,16,68.125,6.872726896945637,54.0,81.0
98,16,68.0,6.726812023536855,56.0,79.0
99,16,67.125,6.6226410894748025,53.0,82.0
100,16,67.375,8.774074025217704,54.0,87.0
101,16,69.6875,7.447472306091511,59.0,86.0
102,16,67.1875,6.966157028807203,55.0,77.0
103,16,70.5625,6.88266618034029,59.0,82.0
104,16,69.6875,9.004989936140962,56.0,86.0
105,16,68.375,7.149082108914403,54.0,81.0
106,16,73.5,8.139410298049853,54.0,84.0
107,16,65.9375,6.036024664462531,51.0,74.0
108,16,66.4375,8.192746410697698,50.0,82.0
109,16,67.8125,9.32214265874536,50.0,89.0
110,16,68.625,8.447447839436476,57.0,84.0
111,16,69.0625,5.50532412760593,60.0,78.0
112,16,67.75,5.739120141624499,54.0,79.0
113,16,70.25,8.481597726843686,54.0,87.0
114,16,68.6875,6.705583028342875,60.0,86.0
115,16,74.0,7.271519786124493,64.0,86.0
116,16,68.0,8.507349763586777,57.0,86.0
117,16,69.125,8.123076695439973,56.0,88.0
118,16,68.75,8.757139944068497,49.0,81.0
119,16,68.5,8.154753215150045,59.0,86.0
120,16,67.0,7.115124735378854,55.0,82.0
121,16,68.0,9.034655499796326,54.0,87.0
122,16,67.0,8.817596044274199,49.0,82.0
123,16,66.0,6.393355926272211,56.0,82.0
124,16,67.5,6.123724356957945,57.0,83.0
125,16,67.6875,6.419878795584851,58.0,83.0
126,16,69.875,8.237680195297703,60.0,92.0
127,16,72.5,7.035623639735144,57.0,83.0
128,16,67.125,8.076779989575053,52.0,81.0
129,16,70.4375,8.291326416804491,54.0,84.0
130,16,67.75,10.968705484240152,48.0,89.0
131,16,72.6875,7.580556955131991,60.0,87.0
132,16,69.9375,7.360950600975393,56.0,83.0
133,16,71.9375,6.795851215999361,59.0,83.0
134,16,69.5625,7.035346029158765,55.0,77.0
135,16,70.625,8.557708513381371,57.0,86.0
136,16,67.9375,9.45032241513484,48.0,86.0
137,16,71.1875,7.60114095054157,60.0,87.0
138,16,70.3125,7.597028613214511,58.0,88.0
139,16,69.4375,6.963913680539126,59.0,83.0
140,16,69.1875,9.402252057353069,55.0,89.0
141,16,65.75,7.171994143890526,53.0,77.0
142,16,69.125,8.01463505095522,56.0,83.0
143,16,71.6875,8.228902949360869,57.0,87.0
144,16,68.25,7.603453162872775,54.0,79.0
145,16,72.625,8.695365144719341,56.0,88.0
146,16,70.0625,8.685251507584567,54.0,94.0
147,16,65.875,7.865073108369686,51.0,78.0
148,16,65.625,5.9041828393097715,56.0,75.0
149,16,66.5625,6.33412138737489,56.0,82.0
150,16,70.625,7.235977819203152,59.0,83.0
151,16,69.0625,7.956669765046178,58.0,81.0
152,16,71.6875,8.765833887885396,59.0,88.0
153,16,67.75,8.540345426269361,54.0,83.0
154,16,65.3125,7.173900177030623,52.0,82.0
155,16,69.5625,10.612308596624958,51.0,84.0
156,16,70.625,8.688174434252572,56.0,89.0
157,16,70.4375,6.873579398683047,60.0,83.0
158,16,66.6875,4.983958642484907,53.0,77.0
159,16,70.8125,6.866756421338971,59.0,84.0
160,16,66.4375,6.954933051439101,55.0,80.0
161,16,66.6875,7.93503898856206,50.0,82.0
162,16,68.6875,6.2721482563791495,60.0,82.0
163,16,70.0,7.0,62.0,86.0
164,16,66.4375,7.114850226814335,57.0,82.0
165,16,71.25,4.322904116447646,63.0,80.0
166,16,69.5625,8.688848816155106,58.0,89.0
167,16,64.5625,9.178567085880017,51.0,87.0
168,16,68.3125,9.142748150857049,50.0,85.0
