gen,nevals,avg,std,min,max
0,16,66.375,6.41165930161608,59.0,78.0
1,16,67.4375,7.158637702105059,55.0,79.0
2,16,61.0,8.336666000266533,44.0,75.0
3,16,64.875,4.484347778663024,55.0,72.0
4,16,67.3125,8.43888877459586,46.0,79.0
5,16,70.5,6.566962768281849,58.0,85.0
6,16,65.4375,5.722420270305214,57.0,76.0
7,16,68.75,9.737171047075224,53.0,86.0
8,16,71.375,9.486009434952086,54.0,88.0
9,16,72.1875,11.215049877285432,46.0,86.0
10,16,69.5625,9.816878004233322,55.0,92.0
11,16,67.0625,12.131924569086308,51.0,103.0
12,16,70.0625,9.736970460569346,54.0,86.0
13,16,65.875,8.688174434252572,49.0,80.0
14,16,69.3125,6.724198372296879,55.0,85.0
15,16,68.8125,11.673788748731065,53.0,98.0
16,16,65.25,8.257572282456872,52.0,78.0
17,16,69.4375,8.26111940054131,53.0,83.0
18,16,67.75,9.470348462437906,55.0,87.0
19,16,70.6875,10.610836147542756,55.0,92.0
20,16,69.25,9.90265116016918,50.0,82.0
21,16,66.875,7.482270711488592,53.0,80.0
22,16,65.4375,7.960596318743967,53.0,80.0
23,16,67.9375,7.586738017751767,55.0,80.0
24,16,70.0,7.681145747868608,54.0,85.0
25,16,67.9375,8.112249610927908,52.0,84.0
26,16,70.9375,7.668676140638618,56.0,83.0
27,16,65.375,7.338894671542848,49.0,78.0
28,16,67.1875,7.883675776565142,55.0,82.0
29,16,69.6875,7.4558596922152445,59.0,84.0
30,16,70.6875,7.695118176480463,61.0,85.0
31,16,68.375,6.808771915698161,56.0,77.0
32,16,68.5625,12.328669585563562,53.0,98.0
33,16,71.125,9.942805187672139,55.0,88.0
34,16,69.3125,7.294850495383713,56.0,87.0
35,16,70.625,8.550402037331343,53.0,92.0
36,16,71.5,11.423659658795863,46.0,89.0
37,16,71.5,7.632168761236874,58.0,90.0
38,16,71.6875,10.366525153106995,58.0,94.0
39,16,71.0625,6.8962739033480975,57.0,81.0
40,16,70.75,11.818946653572814,45.0,88.0
41,16,72.8125,6.691587535854254,64.0,86.0
42,16,69.3125,7.791973033192556,57.0,85.0
43,16,62.125,8.358192089202067,45.0,76.0
44,16,71.0625,9.31040244833702,55.0,87.0
45,16,67.75,8.31038506929733,52.0,88.0
46,16,71.0625,10.568045881334921,56.0,89.0
47,16,68.625,9.068317098558033,50.0,81.0
48,16,71.8125,11.36452127236339,48.0,101.0
49,16,71.625,8.709728755822422,53.0,92.0
50,16,70.875,7.423568885650621,56.0,82.0
51,16,68.1875,7.962558869484106,50.0,84.0
52,16,65.625,9.211914838946353,48.0,81.0
53,16,72.5,11.045361017187261,57.0,101.0
54,16,66.6875,6.554757337232249,54.0,76.0
55,16,74.5625,6.679902226080858,66.0,88.0
56,16,71.375,8.688174434252572,50.0,86.0
57,16,68.5625,7.123629254109172,60.0,88.0
58,16,66.375,7.423568885650621,58.0,91.0
59,16,70.4375,7.582617869179483,57.0,86.0
60,16,66.75,7.258615570478987,56.0,79.0
61,16,69.8125,8.110323282705814,54.0,85.0
62,16,69.375,7.598313957714566,53.0,83.0
63,16,70.25,7.964766161036995,52.0,86.0
64,16,70.75,14.380977018269656,48.0,94.0
65,16,69.0,6.144102863722254,60.0,85.0
66,16,68.625,9.551668702378658,50.0,93.0
67,16,70.875,8.290619699395215,58.0,83.0
68,16,69.0625,9.00325461985831,55.0,87.0
69,16,73.3125,6.6962559501560275,60.0,86.0
70,16,68.875,7.7368840627218916,56.0,79.0
71,16,71.125,9.923929413291894,56.0,88.0
72,16,74.875,6.9988838395847095,62.0,90.0
73,16,72.625,8.006833019365397,56.0,85.0
74,16,67.375,6.918047051010856,56.0,80.0
75,16,69.875,12.020165348280363,52.0,91.0
76,16,69.625,7.218682358990455,58.0,83.0
77,16,72.625,7.321842322803735,61.0,87.0
78,16,71.1875,8.611175514992132,56.0,94.0
79,16,72.0,7.673004626611403,58.0,85.0
80,16,67.4375,7.793978043977286,56.0,86.0
81,16,68.1875,5.17468296130304,61.0,79.0
82,16,69.125,8.72406871820712,51.0,82.0
83,16,68.3125,6.889473401501744,53.0,81.0
84,16,68.3125,9.2986474150814,54.0,88.0
85,16,63.9375,9.607736140735756,44.0,83.0
86,16,70.4375,8.313909654909656,53.0,85.0
87,16,68.0625,8.444441588998055,53.0,84.0
88,16,66.8125,8.14108983797624,51.0,83.0
89,16,67.8125,7.54336421963039,53.0,85.0
90,16,69.875,6.799586384479573,57.0,82.0
91,16,69.5625,6.791251265414938,61.0,83.0
92,16,71.5625,6.518902802619471,60.0,82.0
93,16,69.625,5.134138194478212,63.0,83.0
94,16,72.375,6.019499563917253,64.0,86.0
95,16,71.0625,6.7125698320389935,57.0,86.0
96,16,69.875,5.840323193111833,61.0,82.0
97,16,73.1875,9.625608746983227,54.0,93.0
98,16,74.125,7.9833811759178825,62.0,86.0
99,16,67.0625,8.547431997389625,53.0,87.0
100,16,69.375,5.967359131140006,58.0,81.0
101,16,70.0,7.762087348130012,58.0,86.0
102,16,71.1875,10.144079246042985,56.0,99.0
103,16,73.9375,8.414784236687236,58.0,89.0
104,16,72.0625,7.436974771370412,53.0,85.0
105,16,70.125,7.440388094716565,56.0,84.0
106,16,67.0625,6.8690315001461455,55.0,87.0
107,16,69.75,10.213349107907748,53.0,100.0
108,16,73.0,8.2915619758885,59.0,90.0
109,16,71.8125,9.951248351337634,55.0,97.0
110,16,73.1875,7.835964761916684,62.0,89.0
111,16,70.0,8.2915619758885,53.0,83.0
112,16,71.75,8.764274071479052,54.0,87.0
113,16,73.25,6.796138609534093,60.0,82.0
114,16,69.0625,8.249763254178873,55.0,83.0
115,16,72.4375,8.731900924197435,54.0,88.0
116,16,69.4375,7.6073052883396235,60.0,85.0
117,16,73.875,6.41165930161608,57.0,84.0
118,16,72.125,7.313301238155037,56.0,86.0
119,16,71.3125,8.86509129958626,56.0,86.0
120,16,65.1875,7.518466848367425,54.0,85.0
121,16,69.1875,8.187022886861866,56.0,87.0
122,16,72.4375,9.137619698258403,55.0,97.0
123,16,71.0,6.103277807866851,58.0,82.0
124,16,70.25,10.151970252123476,58.0,92.0
125,16,71.9375,8.856274258964659,55.0,87.0
126,16,72.125,10.252286330375288,57.0,93.0
127,16,69.9375,6.777432681332955,56.0,83.0
128,16,68.5,6.661456297237114,56.0,81.0
129,16,69.125,10.049098218248242,54.0,85.0
130,16,68.625,7.532222447591415,54.0,85.0
131,16,72.0,6.910137480542627,57.0,88.0
132,16,73.5,10.612492638395562,55.0,94.0
133,16,68.8125,6.821095494860045,59.0,85.0
134,16,71.375,7.712611425451175,58.0,90.0
135,16,70.4375,6.294528874347945,59.0,87.0
136,16,72.4375,10.142538821715203,55.0,88.0
137,16,69.0,7.245688373094719,55.0,80.0
138,16,73.25,7.344215410784191,56.0,82.0
139,16,73.6875,4.699983377630181,68.0,87.0
140,16,71.875,5.956876278721928,65.0,84.0
141,16,72.875,9.22547424255252,53.0,91.0
142,16,74.25,7.25,62.0,87.0
143,16,72.9375,4.6833314798335595,64.0,80.0
144,16,70.6875,10.402636384590206,54.0,95.0
145,16,72.0625,8.096826152882375,55.0,83.0
146,16,69.9375,7.925187300625772,54.0,89.0
147,16,73.6875,5.058640504127567,65.0,82.0
148,16,73.8125,8.60391444343794,52.0,87.0
149,16,73.75,7.677076266392044,60.0,91.0
150,16,72.4375,8.852744983901886,59.0,89.0
151,16,71.625,8.929410674842993,57.0,88.0
152,16,68.875,7.7610807881376935,58.0,83.0
153,16,69.625,7.573597229850555,56.0,86.0
154,16,73.4375,8.499770217482352,61.0,95.0
155,16,70.3125,7.751763912168636,59.0,86.0
156,16,73.0625,9.18197112552637,60.0,91.0
157,16,71.9375,10.894200005048559,51.0,87.0
158,16,71.3125,7.727538013494336,60.0,86.0
159,16,69.1875,8.40549485455794,55.0,84.0
160,16,71.9375,6.533268228842284,59.0,85.0
161,16,74.5,9.842509842514763,53.0,91.0
162,16,67.625,8.237680195297703,52.0,78.0
163,16,72.4375,7.499739578812053,58.0,86.0
164,16,72.875,7.381353195722313,60.0,86.0
165,16,72.125,7.801241888314962,55.0,87.0
166,16,66.625,7.398268378478845,55.0,84.0
167,16,74.5,7.516648189186454,63.0,91.0
168,16,69.3125,5.838650850153655,57.0,83.0
169,16,71.9375,10.579867378658392,49.0,88.0
170,16,73.5,12.057155551787494,54.0,91.0
171,16,71.4375,6.689252106924958,61.0,83.0
172,16,72.5,10.338036564067666,51.0,87.0
173,16,69.875,12.241706376155246,47.0,96.0
174,16,72.5625,8.276236690066325,56.0,86.0
175,16,70.375,10.061529456300368,54.0,95.0
176,16,73.8125,9.61261378346181,55.0,97.0
177,16,76.625,9.198335447242615,61.0,95.0
178,16,75.0,9.656603957913983,57.0,91.0
179,16,73.125,10.856305771301765,58.0,96.0
180,16,72.0625,7.101661337321008,55.0,82.0
181,16,70.875,8.425222548989433,55.0,83.0
182,16,71.0625,5.459724695440238,62.0,84.0
183,16,75.0,8.116341540373963,64.0,88.0
184,16,72.4375,7.5330003152794305,57.0,85.0
185,16,73.125,7.122806679954188,61.0,87.0
186,16,73.625,8.630433071404934,56.0,94.0
187,16,77.125,5.988269783501742,64.0,92.0
188,16,74.3125,8.921314014762624,58.0,90.0
189,16,76.125,9.333240326917549,57.0,87.0
190,16,74.0,9.354143466934854,58.0,96.0
