gen,nevals,avg,std,min,max
0,16,64.625,9.558209821927953,50.0,85.0
1,16,61.3125,9.264979425233497,46.0,80.0
2,16,67.5625,6.528483265659797,60.0,81.0
3,16,69.1875,7.915323350944041,55.0,82.0
4,16,64.9375,9.807323475342292,51.0,81.0
5,16,67.0,8.246211251235321,55.0,87.0
6,16,65.5625,6.6046266927056525,55.0,77.0
7,16,66.8125,9.442051882403527,53.0,83.0
8,16,66.5,7.305819598101229,56.0,81.0
9,16,70.5625,9.239647923487128,58.0,91.0
10,16,65.5625,8.971961533020524,52.0,80.0
11,16,66.75,9.522998477370455,50.0,83.0
12,16,66.25,8.627716963368698,51.0,86.0
13,16,63.875,9.218697033746146,47.0,80.0
14,16,66.6875,7.363072982797332,55.0,82.0
15,16,65.875,9.130135541162574,52.0,85.0
16,16,66.0625,8.065890759860315,53.0,83.0
17,16,69.375,9.171116344262568,51.0,86.0
18,16,67.9375,11.093177802144885,52.0,93.0
19,16,68.0625,9.53591074570227,53.0,89.0
20,16,68.1875,7.731580934711865,55.0,80.0
21,16,69.75,7.232738070744716,56.0,81.0
22,16,69.4375,8.543775146268773,54.0,81.0
23,16,67.5625,8.652808431370707,57.0,84.0
24,16,64.8125,5.854685623498498,54.0,75.0
25,16,68.5625,7.45795506489547,55.0,82.0
26,16,67.0,7.508328708840604,53.0,85.0
27,16,70.8125,7.851900645703561,58.0,87.0
28,16,71.3125,8.991098028049745,59.0,89.0
29,16,72.0,10.198039027185569,55.0,94.0
30,16,69.9375,9.29024185637812,49.0,83.0
31,16,69.3125,7.380030064301907,50.0,79.0
32,16,68.25,7.479137650825796,53.0,87.0
33,16,67.0,8.951256894984079,54.0,85.0
34,16,67.1875,11.62550402133172,50.0,92.0
35,16,69.25,9.76921184128996,55.0,95.0
36,16,73.0,7.271519786124493,59.0,85.0
37,16,71.875,9.252533436848527,55.0,89.0
38,16,69.125,5.2544623892459255,60.0,78.0
39,16,67.625,7.91260860904923,52.0,82.0
40,16,64.0,7.466592261534039,51.0,77.0
41,16,71.3125,7.919270405157283,56.0,83.0
