gen,nevals,avg,std,min,max
0,16,67.625,5.383713866839507,56.0,79.0
1,16,63.375,5.23061898822692,53.0,73.0
2,16,65.5625,6.6046266927056525,52.0,78.0
3,16,69.3125,9.237956686951936,55.0,89.0
4,16,67.5625,7.761835720369247,48.0,79.0
5,16,68.1875,6.9121157216875355,56.0,81.0
6,16,69.875,8.752678161568607,52.0,84.0
7,16,66.125,8.75981592272349,48.0,81.0
8,16,67.125,7.79322622538317,55.0,85.0
9,16,64.5,7.424621202458749,47.0,76.0
10,16,67.4375,6.818804422330941,56.0,80.0
11,16,68.5,6.490377492873585,59.0,81.0
12,16,71.1875,8.762268185236058,52.0,83.0
13,16,72.4375,10.547326379229952,56.0,95.0
14,16,71.75,8.38525491562421,59.0,89.0
15,16,66.9375,9.826423242970964,54.0,85.0
16,16,70.3125,7.871775133348259,57.0,84.0
17,16,67.625,8.88731539892672,52.0,86.0
18,16,67.4375,8.710401468933565,52.0,80.0
19,16,69.25,6.796138609534093,57.0,83.0
20,16,72.625,9.272776013686517,58.0,91.0
21,16,69.5625,8.623867679295643,49.0,83.0
22,16,68.9375,9.161527915691792,55.0,87.0
23,16,71.8125,9.46849215820555,52.0,87.0
24,16,67.75,7.9096460097781875,55.0,82.0
25,16,70.0,7.14142842854285,57.0,81.0
26,16,70.6875,8.90729160575761,51.0,82.0
27,16,72.1875,8.60391444343794,58.0,95.0
28,16,67.9375,9.463540233443297,57.0,86.0
29,16,80.5,6.48074069840786,65.0,90.0
30,16,64.125,8.971308432999058,51.0,87.0
31,16,67.0,6.334429729659964,57.0,79.0
32,16,69.1875,10.260474830630404,54.0,85.0
33,16,68.625,7.287617923574205,58.0,85.0
34,16,68.375,11.050311081594039,51.0,91.0
35,16,71.0,7.474958193863027,58.0,85.0
36,16,68.75,8.242420760917268,54.0,87.0
37,16,68.625,7.105235745561156,57.0,80.0
38,16,67.125,9.164298936634488,52.0,89.0
39,16,66.9375,7.980200107140171,53.0,87.0
40,16,72.5,9.103570728016562,46.0,86.0
41,16,67.5,7.19374728496908,55.0,79.0
42,16,67.875,8.432637487761465,49.0,80.0
43,16,66.0,6.809919235938118,53.0,78.0
44,16,66.375,10.976537477729487,48.0,89.0
45,16,70.8125,8.110323282705814,55.0,90.0
46,16,67.9375,8.16600231141285,55.0,86.0
47,16,67.9375,7.684958929623502,55.0,83.0
48,16,70.0,6.6332495807108,54.0,81.0
49,16,71.3125,6.807337493469822,59.0,84.0
50,16,66.25,9.229707470987366,52.0,81.0
51,16,65.3125,8.296977989002984,52.0,86.0
52,16,72.0,8.65303414993839,53.0,85.0
53,16,69.9375,7.326908880967471,55.0,84.0
54,16,70.5,9.212762886344139,56.0,90.0
55,16,71.5625,7.63191285000032,54.0,85.0
56,16,67.5625,7.549575733112424,55.0,86.0
57,16,68.5625,9.367288495076897,53.0,85.0
58,16,65.5,8.366600265340756,54.0,80.0
59,16,72.4375,7.74571454095747,61.0,92.0
60,16,68.375,6.744210480108105,58.0,82.0
61,16,70.625,5.732309743899051,62.0,80.0
62,16,68.0625,7.964520936628895,55.0,84.0
63,16,69.25,7.335700375560605,53.0,87.0
64,16,70.5625,7.672750077384249,59.0,83.0
65,16,71.75,8.891709621889369,56.0,89.0
66,16,66.4375,7.865818059807893,51.0,80.0
67,16,67.8125,7.962558869484106,57.0,79.0
68,16,72.8125,7.97824189593171,60.0,87.0
69,16,72.5,7.3569694847810805,61.0,88.0
70,16,69.4375,8.667242569006593,52.0,84.0
71,16,67.8125,7.341821555309009,57.0,81.0
72,16,69.8125,7.518466848367425,59.0,81.0
73,16,62.875,5.521265706339444,55.0,74.0
74,16,69.1875,8.087171554381667,58.0,86.0
75,16,69.5625,6.999720976581853,53.0,83.0
76,16,68.4375,9.740179348964782,50.0,83.0
77,16,68.375,6.808771915698161,58.0,85.0
78,16,65.6875,5.730605879835045,53.0,77.0
79,16,68.0625,9.990425103567915,53.0,84.0
80,16,69.5625,9.25991866864931,60.0,91.0
81,16,72.9375,9.781799105992722,52.0,90.0
82,16,70.125,8.48436061232666,53.0,82.0
83,16,67.0,8.888194417315589,53.0,83.0
84,16,69.5,9.40744386111339,50.0,85.0
85,16,70.0625,5.4367815617330075,62.0,80.0
86,16,72.4375,8.403635745913789,58.0,92.0
87,16,67.8125,9.422172984508403,55.0,86.0
88,16,70.3125,7.156454691395734,55.0,79.0
89,16,69.0625,6.923409113290937,56.0,81.0
90,16,68.4375,8.529132063111698,56.0,86.0
91,16,67.875,9.54512310030625,51.0,85.0
92,16,66.5,11.146748404803978,49.0,88.0
93,16,73.6875,7.989983964314321,58.0,88.0
94,16,67.375,10.129628571670336,54.0,88.0
95,16,70.0625,7.154271014575839,57.0,83.0
96,16,70.9375,8.317667566691998,62.0,87.0
97,16,71.5625,7.566114838541641,53.0,86.0
98,16,68.25,8.089344843681719,48.0,83.0
99,16,70.3125,7.497655883674577,57.0,88.0
100,16,71.75,9.222933372848358,57.0,89.0
101,16,66.875,8.176758220713145,53.0,79.0
102,16,76.25,9.990620601344043,59.0,96.0
103,16,68.5,4.860555523805895,61.0,79.0
104,16,67.9375,9.18197112552637,50.0,85.0
105,16,65.375,8.207275735589734,55.0,82.0
106,16,68.875,7.490619133289317,53.0,82.0
107,16,74.25,9.575359001102779,59.0,89.0
108,16,72.0,11.374313166077325,53.0,93.0
109,16,73.25,9.775607398008576,58.0,100.0
110,16,69.0,9.219544457292887,54.0,85.0
111,16,71.625,10.185007363767589,53.0,93.0
112,16,70.5,9.55902714715258,57.0,90.0
113,16,70.875,7.287617923574205,58.0,90.0
114,16,70.125,6.5752851649187045,59.0,82.0
115,16,71.75,7.9726093595509875,56.0,86.0
116,16,68.6875,9.231188642314704,51.0,86.0
117,16,69.5,8.223442101699263,58.0,82.0
118,16,68.8125,9.995115994824673,50.0,91.0
119,16,69.5,8.06225774829855,55.0,80.0
120,16,68.875,7.8888766627448295,51.0,82.0
121,16,67.75,9.509863300805117,53.0,86.0
122,16,66.0625,10.57395828202476,50.0,86.0
123,16,71.875,11.038993387080183,54.0,93.0
124,16,66.8125,5.9183903005800484,56.0,77.0
125,16,65.8125,6.578551797318313,51.0,76.0
126,16,69.125,6.817945071647322,62.0,87.0
127,16,71.125,6.7903884277705355,56.0,81.0
128,16,67.4375,6.88266618034029,53.0,82.0
129,16,67.3125,5.719689130538477,57.0,78.0
130,16,70.3125,9.251477922472711,55.0,85.0
131,16,69.875,7.991206104212305,57.0,83.0
132,16,68.875,8.417801078666566,53.0,84.0
133,16,72.0,8.565920849505908,58.0,85.0
134,16,73.375,7.218682358990455,61.0,85.0
135,16,73.5,7.842193570679061,56.0,87.0
136,16,71.375,5.4872010169119925,62.0,85.0
137,16,68.1875,8.017315245766502,50.0,83.0
138,16,70.6875,8.527299909701782,57.0,89.0
139,16,69.75,8.459462157844316,58.0,88.0
140,16,70.9375,8.027053864899624,54.0,83.0
141,16,69.6875,5.144399260360728,59.0,77.0
142,16,70.625,8.680977767509832,61.0,87.0
143,16,70.0,6.642665127793212,60.0,81.0
144,16,67.0,8.782084035125148,53.0,86.0
145,16,71.0625,10.413145238111298,57.0,97.0
146,16,65.25,7.941190087134295,49.0,79.0
147,16,66.5,8.5,49.0,83.0
148,16,68.125,7.515608757778707,56.0,80.0
149,16,69.8125,9.566992408798075,57.0,91.0
150,16,67.625,9.033790732577327,54.0,91.0
151,16,68.5625,7.857868270084451,55.0,80.0
152,16,66.875,7.540515565927836,54.0,80.0
153,16,73.8125,6.405259069702021,60.0,84.0
154,16,72.5,6.809919235938118,59.0,82.0
155,16,66.4375,6.918893968691817,55.0,81.0
156,16,66.375,7.201345360417038,57.0,84.0
157,16,69.9375,5.080215915687049,56.0,77.0
158,16,68.625,7.227335262736882,53.0,83.0
159,16,72.5625,8.880939913657787,58.0,92.0
160,16,69.0,6.093028803476971,58.0,79.0
161,16,70.75,7.031180555212616,61.0,81.0
162,16,73.5,5.303300858899107,65.0,87.0
163,16,70.5,8.100925873009825,60.0,87.0
164,16,66.25,8.554969316134336,49.0,82.0
165,16,68.0,6.254998001598402,58.0,81.0
166,16,71.0625,9.781799105992722,55.0,89.0
167,16,66.6875,6.6962559501560275,58.0,78.0
168,16,68.75,8.926785535678562,56.0,87.0
169,16,70.5625,8.185114156198434,53.0,84.0
170,16,72.1875,6.6164449480064444,58.0,85.0
171,16,71.0,5.689903338370521,63.0,82.0
172,16,71.3125,10.96425299553052,53.0,88.0
173,16,71.0625,6.046370295474798,56.0,81.0
174,16,70.875,8.335728822364604,54.0,83.0
175,16,72.5,6.519202405202649,55.0,82.0
176,16,69.5625,5.905175166749925,60.0,85.0
177,16,72.0,6.490377492873585,63.0,87.0
178,16,69.4375,5.936842068810657,60.0,81.0
179,16,73.9375,7.995848532207198,63.0,96.0
180,16,71.375,10.270558650823235,56.0,91.0
181,16,70.6875,10.06676928065802,50.0,89.0
182,16,70.1875,7.299133082085844,55.0,82.0
183,16,71.25,10.419332992087353,57.0,94.0
184,16,69.375,7.967708265241644,57.0,86.0
185,16,73.125,8.852083088177608,59.0,100.0
186,16,68.3125,5.997069596894804,60.0,80.0
187,16,68.9375,8.713988395103588,55.0,85.0
188,16,67.25,9.737171047075224,51.0,86.0
189,16,66.75,6.368869601428498,57.0,84.0
190,16,73.3125,6.668196439068064,63.0,88.0
191,16,71.5625,10.700284750883968,51.0,93.0
192,16,67.9375,7.478876503192174,51.0,77.0
193,16,68.0625,6.721874273593638,48.0,78.0
194,16,70.0,7.881941385217223,59.0,85.0
195,16,68.0,6.928203230275509,53.0,78.0
196,16,70.3125,6.6305990491055935,59.0,83.0
197,16,66.25,7.9096460097781875,55.0,84.0
198,16,65.75,7.545694136393285,48.0,78.0
199,16,70.6875,6.889473401501744,57.0,81.0
200,16,71.25,10.034316120194738,52.0,86.0
201,16,70.3125,9.060344571262178,58.0,85.0
202,16,71.3125,5.451132336496703,63.0,82.0
203,16,68.4375,8.964992679863158,53.0,91.0
204,16,68.9375,12.925114844750897,52.0,100.0
205,16,69.75,7.644442425710328,56.0,85.0
206,16,73.25,8.511022265274601,59.0,89.0
207,16,64.8125,6.1767583528902925,50.0,73.0
208,16,71.8125,8.255443280042568,55.0,88.0
209,16,69.125,8.586872247797798,57.0,87.0
210,16,70.125,6.343057228182637,62.0,85.0
211,16,72.3125,9.789782620160674,54.0,91.0
212,16,72.0625,7.145529633973958,60.0,81.0
213,16,75.125,9.835363490995135,54.0,93.0
214,16,71.125,12.134017265522576,49.0,95.0
215,16,71.0,10.012492197250394,52.0,90.0
216,16,70.8125,8.040668115896837,57.0,83.0
217,16,75.1875,9.234573284673202,60.0,94.0
218,16,71.4375,8.154513704078251,54.0,87.0
219,16,71.5625,8.895003864529796,57.0,83.0
220,16,67.625,8.335728822364604,53.0,83.0
221,16,68.5,7.881941385217223,57.0,84.0
222,16,71.375,6.641488914392616,57.0,81.0
223,16,71.375,8.673775129665284,55.0,88.0
224,16,74.4375,7.296992102914735,63.0,92.0
225,16,69.9375,10.052790346466,53.0,88.0
226,16,70.1875,9.118790695591166,55.0,86.0
227,16,69.1875,7.401171782224758,58.0,84.0
228,16,73.0,8.782084035125148,56.0,92.0
229,16,70.4375,9.669337813418249,51.0,88.0
230,16,71.875,12.200794031537455,52.0,95.0
231,16,70.1875,9.275092654523727,55.0,88.0
232,16,75.5,5.820223363411408,64.0,84.0
233,16,70.5,7.607562027351469,56.0,84.0
234,16,73.4375,9.746593956352136,56.0,96.0
235,16,66.4375,8.215600632333585,53.0,85.0
236,16,70.375,8.138450405329014,60.0,86.0
237,16,71.1875,8.62567932107379,51.0,84.0
238,16,76.0,9.117291264405235,54.0,91.0
239,16,74.5,7.945124291035352,61.0,93.0
240,16,68.875,10.361436917725262,53.0,93.0
241,16,71.125,6.66966078597705,61.0,85.0
242,16,69.875,10.810151479049681,54.0,87.0
243,16,74.0625,8.547431997389625,58.0,86.0
244,16,70.25,6.8053287944081,57.0,80.0
245,16,73.625,9.211914838946353,56.0,89.0
246,16,71.8125,6.654122312521765,59.0,80.0
247,16,70.75,8.898735865278843,52.0,84.0
248,16,70.1875,8.959762482900985,53.0,85.0
249,16,75.0,8.616843969807043,62.0,91.0
