gen,nevals,avg,std,min,max
0,16,63.6875,5.575826732422736,52.0,74.0
1,16,68.75,5.695392874947259,59.0,77.0
2,16,65.875,7.680128579652817,55.0,80.0
3,16,66.375,9.571278650211788,49.0,90.0
4,16,67.4375,7.236787529698519,51.0,83.0
5,16,70.5,7.202430145443967,53.0,81.0
6,16,67.1875,8.59664723889494,51.0,83.0
7,16,67.9375,4.904956039558357,59.0,79.0
8,16,67.875,5.925316447245666,59.0,81.0
9,16,64.9375,10.662250876339385,45.0,84.0
10,16,69.3125,6.141241222261181,55.0,80.0
11,16,70.8125,7.535074236528795,58.0,84.0
12,16,70.9375,10.568045881334921,50.0,88.0
13,16,69.6875,9.802542718601128,53.0,90.0
14,16,66.625,8.752678161568607,48.0,81.0
15,16,68.3125,7.743697033717163,54.0,85.0
16,16,67.9375,6.950438385454547,54.0,80.0
17,16,65.6875,7.243261955086258,53.0,78.0
18,16,67.375,9.095843831113196,46.0,86.0
19,16,67.4375,9.353934666759224,48.0,84.0
20,16,70.5625,10.446104237944402,55.0,86.0
21,16,72.75,5.494315243958978,63.0,82.0
22,16,70.3125,7.015329197550177,57.0,83.0
23,16,71.125,8.462232270506405,55.0,83.0
24,16,69.25,6.398241946034863,57.0,85.0
25,16,70.5625,7.508068576538177,56.0,83.0
26,16,68.75,8.835298523536146,51.0,82.0
27,16,68.5,8.093207028119323,54.0,81.0
28,16,70.3125,6.120853188077623,59.0,80.0
29,16,69.3125,8.780082217724388,55.0,89.0
30,16,65.25,8.627716963368698,55.0,84.0
31,16,67.1875,8.545603767435043,54.0,84.0
32,16,70.8125,6.747395330792468,60.0,87.0
33,16,68.0625,7.232468026199632,57.0,80.0
34,16,70.5,9.374166629626338,53.0,84.0
35,16,67.5625,5.63436720049377,58.0,80.0
36,16,67.125,6.460214779711275,56.0,78.0
37,16,69.5,7.794228634059948,56.0,87.0
38,16,69.75,6.0878978309429606,57.0,79.0
39,16,69.8125,9.254855144733494,50.0,84.0
40,16,68.25,8.757139944068497,54.0,83.0
41,16,65.6875,7.6052510642318705,55.0,80.0
42,16,67.8125,7.178254923726239,55.0,80.0
43,16,65.4375,6.772820221296295,52.0,76.0
44,16,69.3125,6.380818423211869,51.0,79.0
45,16,68.4375,7.466330675104071,54.0,80.0
46,16,70.5625,12.170500965449204,51.0,94.0
47,16,66.625,8.230089610690762,46.0,82.0
48,16,69.5625,6.689252106924958,59.0,80.0
49,16,70.6875,8.578452293391857,57.0,86.0
50,16,69.625,8.283077628514658,56.0,84.0
51,16,74.25,6.118619125260208,64.0,87.0
52,16,67.3125,7.4558596922152445,59.0,82.0
53,16,71.3125,6.573799795399918,62.0,86.0
54,16,67.75,8.12788410350443,56.0,83.0
55,16,66.4375,6.809632424000579,57.0,84.0
56,16,71.9375,6.504505649932207,59.0,85.0
57,16,69.5,8.351646544245034,54.0,83.0
58,16,68.8125,9.193875339050448,55.0,85.0
59,16,64.375,7.321842322803735,54.0,84.0
60,16,67.1875,8.479524971954502,54.0,86.0
61,16,66.375,9.499177595981665,52.0,85.0
62,16,66.875,6.450532923720334,57.0,79.0
63,16,69.0,6.642665127793212,54.0,78.0
64,16,66.9375,5.695049933933855,55.0,78.0
65,16,67.8125,7.350329499417016,53.0,80.0
66,16,69.9375,7.821994231012958,58.0,89.0
67,16,68.0625,7.3098285718613125,54.0,86.0
68,16,66.0,8.147085368400163,53.0,77.0
69,16,68.9375,10.034121473751451,55.0,91.0
70,16,67.0,6.566962768281849,51.0,76.0
71,16,68.6875,6.798150024087436,54.0,78.0
72,16,67.625,5.3253521010351985,61.0,82.0
73,16,62.9375,5.963102694906403,52.0,77.0
74,16,69.375,9.88606974484805,54.0,89.0
75,16,66.5,8.930285549745875,54.0,85.0
76,16,70.1875,7.384263250318206,57.0,81.0
77,16,68.1875,12.355255713662912,50.0,105.0
78,16,69.125,7.991206104212305,52.0,82.0
79,16,69.75,7.361215932167728,55.0,83.0
80,16,66.375,8.045767520877048,53.0,84.0
81,16,69.5,7.794228634059948,56.0,82.0
82,16,68.8125,5.3058782260809565,58.0,76.0
83,16,68.375,7.025622748198198,55.0,82.0
84,16,71.6875,8.67985274932703,60.0,92.0
85,16,69.5,8.344159634139318,55.0,89.0
86,16,66.1875,5.8972318718191845,57.0,76.0
